id;case_no;village_name;accuser_name;application_no;land_reference_no;first_appeal;amount;project_name;court_name;defendant_name;case_description;case_filing_date;total_claim_amount;case_officer;caselawyer;next_hearing_date;amount_deposite_in_court;lar;inc_compensation;amount_paid_slo;cheque_no;cheque_date;appeal_no;court_amount;appeal_amount;appeal_date;description;comment;status;freefield_1;freefield_2;freefield_3;last_modified_by;last_modified
1;Kids;moratorium alarm Mouse;withdrawal Lead;Garden B2C;Pants model Plastic;HTTP Engineer;United enable;Ergonomic Re-contextualized strategic;Architect Mouse firewall;Fantastic;intuitive Island Rubber;2022-01-19T15:02:28;Shoes;Soft;Home Account;2022-01-20T00:58:49;Wisconsin;Agent Jewelery;drive Wisconsin Timor-Leste;Account Rial dedicated;Concrete Iowa;2022-01-20T02:26:47;target calculating;Garden payment;Bedfordshire Borders;2022-01-19T18:12:13;Mouse;Open-architected benchmark Investor;CLOSED;global Coves;Taka;Borders;Sports;Granite Bike
2;digital;Unbranded;Games;alarm;orange;Cambridgeshire calculate magnetic;Total Intranet backing;Christmas;port;Cotton Account;Practical;2022-01-19T12:47:20;application Licensed Officer;Gorgeous out-of-the-box;virtual Bacon Handcrafted;2022-01-19T09:01:24;responsive Dynamic zero;visualize orchid;Loan Alaska;Paradigm XML scale;Account;2022-01-19T08:36:31;Security Plastic copy;iterate;wireless panel National;2022-01-20T06:28:00;transmitter;backing;NEXT_HEARING;auxiliary program;matrix Towels;Table Avon utilize;payment Ergonomic;schemas Table
3;Investor compress Mills;web-enabled Manager;enterprise sensor users;Fantastic Health;Books solutions;Card CSS;dedicated whiteboard Licensed;groupware Fresh Delaware;Virginia red Open-source;invoice salmon Wooden;Personal niches alliance;2022-01-19T13:23:56;HDD;Factors orchestration;user-centric;2022-01-19T10:06:37;national;Drives Wooden Lane;plum;product;Berkshire;2022-01-19T11:49:10;cultivate;Florida;Intelligent Specialist;2022-01-19T19:48:30;violet Tasty;Salad;CONCLUDED;Account Peso;Global;Pizza Vision-oriented;microchip Applications invoice;Gold Sweden
4;online deliver application;bypassing analyzing tan;Point Product;users Springs;virtual Junctions;sensor;Frozen B2B;Books North;Facilitator relationships;Engineer port;channels;2022-01-19T08:48:26;American;Industrial hack;parse harness;2022-01-20T06:34:31;Rupee District;Implementation innovative;Investor Response;overriding;indigo Codes Progressive;2022-01-19T08:38:48;Borders;Granite next-generation;architectures;2022-01-20T00:20:01;Nevada;XML Bedfordshire Forward;AWAITING;California Product Synergistic;Granite;Credit Cambridgeshire deposit;implementation paradigm;Handcrafted Practical
5;quantify microchip parsing;Vista Nebraska compress;Branding Awesome;silver;Car Car;Synergized black XML;Neck deposit;web-enabled Accountability whiteboard;Strategist withdrawal withdrawal;Fresh Rapids West;Movies;2022-01-19T13:48:29;wireless connect Buckinghamshire;system-worthy panel;Phased circuit;2022-01-20T03:36:23;Reverse-engineered green Granite;Customer HDD Loan;CSS;bypassing methodologies;repurpose Underpass;2022-01-19T16:51:14;copy Plastic;Cotton;haptic;2022-01-19T10:27:26;generating Borders;matrix De-engineered;SUSPENDED;niches global;Program;protocol management;Baby Timor-Leste;exuding index grey
6;Operative RAM;generating Intelligent synthesizing;invoice;Direct Assistant;quantifying;Cambridgeshire Dollar synergies;parsing Usability Kentucky;microchip Towels;Quality-focused Switchable HTTP;Tuna Mouse Granite;Fully-configurable;2022-01-20T06:21:02;Qatari Central Practical;Customer Division navigating;up Executive Books;2022-01-20T02:15:35;back-end SSL;moratorium;JBOD calculate;payment Licensed;scale;2022-01-19T17:57:19;Shilling CSS;digital Integration Africa;collaborative;2022-01-19T21:04:52;auxiliary;payment;OPEN;Concrete black engineer;Georgia Shoes Locks;Programmable;copy withdrawal Jersey;cyan
7;cutting-edge;Customizable Chair interfaces;XML methodology;Rhode 24/365 benchmark;program;Switchable Auto Tasty;throughput systemic;navigate iterate;integrate;base intuitive;Minnesota;2022-01-19T17:56:38;scalable implementation;Grocery Bedfordshire;Darussalam hacking;2022-01-19T16:16:54;Grocery web Alabama;calculating;multimedia;optical neural;Car;2022-01-20T03:36:07;microchip up Row;Towels SDD;Distributed;2022-01-19T20:35:06;Fresh;Plastic Bike;CONCLUDED;Saint PNG;Cotton Alaska;5th process;District web-enabled;Soft
8;Buckinghamshire;benchmark;Account e-markets Pants;revolutionize;hybrid Consultant;Rustic;Vatu web-readiness methodical;Shirt;optimize strategy calculate;Tenge Liaison pixel;Auto;2022-01-19T18:58:08;hub Loan multi-byte;Minnesota Chips Cambridgeshire;De-engineered web-enabled Tuna;2022-01-19T22:11:11;bus;Assurance copy;COM;invoice;Bacon;2022-01-19T15:05:16;Identity collaborative;Borders Palau;calculate;2022-01-19T17:02:25;virtual hack;Integration driver Accounts;AWAITING;solution-oriented Buckinghamshire Fiji;quantify;Gorgeous CSS;Salad salmon;HDD
9;network Customizable;Card Metal;Handmade initiatives white;Devolved;Multi-channelled Future;Salad transmitting;haptic overriding black;Shoes;Pants;invoice cohesive Chicken;full-range;2022-01-19T08:09:21;Ethiopia;withdrawal incubate synthesizing;Borders methodology action-items;2022-01-20T03:01:15;help-desk Valleys transmitting;24/7;Romania Steel Manager;Way Pants Corporate;Soft;2022-01-19T12:45:46;Soft Director;Steel;program Peso Shirt;2022-01-19T11:07:01;orange Architect incremental;Unbranded USB;SUSPENDED;client-driven visualize Small;deposit;port bypassing;Spurs Officer Isle;Yemen Loan solutions
10;Generic non-volatile;program;Vermont Branding base;Fiji;Fantastic Small recontextualize;bypassing Account;Greece and;Cambridgeshire Architect;Spring Cotton;e-tailers redundant Account;Liberian Harbors aggregate;2022-01-20T02:57:27;Borders reciprocal;Towels violet;quantify Cambridgeshire radical;2022-01-19T17:10:53;Bike;Clothing programming sensor;Sports;Kwacha calculate Comoros;Card productize out-of-the-box;2022-01-20T05:56:57;Developer SQL Personal;Seychelles Function-based;Costa Fuerte Refined;2022-01-20T04:51:53;success;redefine interface;CLOSED;invoice architecture;niches Silver;Planner;Arabia;Viaduct target
