id;hearing_date;next_hearing_date;description;previous_hearing_date;conclusion;comment;status;freefield_1;freefield_2;freefield_3;freefield_4;freefield_5;last_modified_by;last_modified
1;2022-01-19T06:42:51;2022-01-19T12:41:52;Intelligent groupware Stand-alone;2022-01-19T18:35:23;Shirt Account;Compatible quantify;OPEN;Comoros;Computer;Steel installation Unbranded;Checking Health Account;maximize Small;CSS Florida;Toys
2;2022-01-20T03:13:43;2022-01-20T01:27:23;payment back-end;2022-01-20T01:08:15;TCP Facilitator Unions;Path;OPEN;exploit;Mississippi Mouse disintermediate;protocol;Account SMS;Clothing;invoice Sharable;Somoni payment Direct
3;2022-01-19T16:29:53;2022-01-19T12:36:36;orange Administrator generate;2022-01-19T13:28:27;Maryland Officer;connecting e-services;CLOSED;intermediate;Cambridgeshire;Wooden Mouse;feed;Factors wireless;generating composite green;compelling Handcrafted
4;2022-01-20T01:12:45;2022-01-19T18:32:51;Islands interface Isle;2022-01-19T19:51:35;alarm Games Berkshire;Hat Ergonomic Checking;OPEN;Awesome Executive action-items;Principal Intelligent;benchmark Tasty Yen;deposit;Salad invoice;York Martinique;transmitting impactful
5;2022-01-19T19:40:32;2022-01-19T11:08:44;Buckinghamshire;2022-01-19T20:08:10;AI payment standardization;Awesome GB Rubber;HEARING;turn-key ivory;Ridge;Small Object-based;Berkshire;green;Soft Unbranded;Account Soap Granite
6;2022-01-19T17:07:38;2022-01-19T18:13:18;open-source Rubber ubiquitous;2022-01-19T14:31:01;violet input;Solutions synergy calculating;SUSPENDED;Account applications;Technician;front-end Kiribati Ameliorated;Small Generic Research;Shoes hacking microchip;Bacon customized;XSS
7;2022-01-19T14:36:33;2022-01-20T02:36:06;withdrawal synergize cross-platform;2022-01-19T17:21:42;Investment Bulgaria efficient;Books Frozen;CONCLUDED;interface interface Peso;Fundamental drive TCP;Wallis solid Reduced;ivory Diverse;mobile Nigeria Organic;IB;New
8;2022-01-20T03:53:01;2022-01-19T14:05:14;JBOD web-enabled Ball;2022-01-20T01:26:28;Phased Home BEAC;e-services;OPEN;Row;Garden;Account Garden;target;Fresh Administrator Movies;generating;Arkansas Mount hacking
9;2022-01-19T07:51:59;2022-01-19T11:27:20;pink Architect Ville;2022-01-20T05:51:01;Guiana Ringgit incubate;CSS Health Cotton;SUSPENDED;Canyon Isle Dirham;Berkshire users Iowa;Fresh;Isle;Isle;Metal Incredible Colon;multi-byte
10;2022-01-20T03:59:39;2022-01-19T20:47:09;Applications;2022-01-20T05:22:06;up Persevering Investment;Executive card;CLOSED;toolset distributed Account;Kentucky Awesome Shoes;Bacon;Libyan Dollar Intelligent;parsing Baby;emulation compressing Switzerland;Ergonomic mobile
